account_id,first_name,middle_name,last_name,name_extension,birthday,address,email,mobile
RES-001,Felipe,Ramirez,Dela Cruz,,1965-04-05,"140 Bonifacio St., Brgy. Example",felipe.delacruz@email.com,
RES-002,Carmen,Fernandez,Fernandez,,1951-09-07,"140 Katipunan St., Brgy. Example",carmen.fernandez@email.com,09969119330
RES-003,Juan,Salazar,Salazar,,1977-06-09,"87 Luna St., Brgy. Example",,
RES-004,Alberto,Navarro,Aquino,,1996-08-18,"97 Bonifacio St., Brgy. Example",alberto.aquino@email.com,09764130526
RES-005,Veronica,Marquez,Torres,,1952-11-08,"21 Del Pilar St., Brgy. Example",veronica.torres@email.com,09586845604
RES-006,Felipe,Uy,Cruz,,1972-04-22,"19 Taft St., Brgy. Example",felipe.cruz@email.com,09362863730
RES-007,Antonio,Ignacio,Flores,,1990-12-18,"84 Rizal St., Brgy. Example",antonio.flores@email.com,
RES-008,Fernando,Gonzales,Aquino,IV,2006-12-11,"128 Pinaglabanan St., Brgy. Example",fernando.aquino@email.com,09253407200
RES-009,Ricardo,Lopez,Fernandez,,1984-05-24,"150 Pinaglabanan St., Brgy. Example",ricardo.fernandez@email.com,09248532577
RES-010,Ernesto,Javier,Reyes,,2005-02-05,"109 Taft St., Brgy. Example",,09602564736
RES-011,Lourdes,Mendoza,Castro,,1950-11-24,"138 Laurel St., Brgy. Example",lourdes.castro@email.com,09415143362
RES-012,Isabel,Torres,Hernandez,II,1982-03-17,"77 Recto St., Brgy. Example",isabel.hernandez@email.com,09918739736
RES-013,Antonio,Lim,Rosales,,1950-10-11,"29 Zamora St., Brgy. Example",antonio.rosales@email.com,09430190783
RES-014,Luz,Reyes,Fernandez,,1955-02-24,"18 Aurora St., Brgy. Example",luz.fernandez@email.com,09610330567
RES-015,Beatriz,Torres,Aquino,,1988-07-07,"52 Burgos St., Brgy. Example",beatriz.aquino@email.com,09500957212
